ID,location,name,review,subject,time
2017_3_16_13_41_10_369836_84,"Columbus, Ohio",AW51,"This was our first visit to Istanbul. We found this property on Trip Advisor and, as is usually the case, we weren't steered wrong. A little place in the heart of the Old City. Excellent, helpful staff. Nice rooftop terrace for breakfast and BYO drinks at night. Within walking distance of major attractions. You know you are in Istanbul. And,...",Feel immersed in the Old City....,Reviewed 21 September 2014 
2017_3_16_13_41_11_833734_85,"Veracruz, Mexico",Aitor V,"White House Hotel is an excellent option if you want to stay (very) near the Old Town Attractions.
Locacation is perfect. Just a couple of hundred yards away from Hagia Sophia and the Blue Mosque but more importantly, it is steps away from the tram you will be using to move around the more common sights in Istanbul.
The hotel...",Great place to stay at the Old Town but a bit pricy for the value delivered,Reviewed 20 September 2014 
2017_3_16_13_41_13_433819_86,"Terrigal, Australia",Sandy897,"We stayed at this hotel on 2 occasions on our recent trip to Turkey
Each time the staff were very welcoming as all the reviews have stated, you really can't fault them. We really enjoyed the location as well as it is a very easy walk to all the attractions which is very handy in this very busy city.
Even...",Easy walk to everything!,Reviewed 20 September 2014 
2017_3_16_13_41_14_671042_87,,James H,"That title may seem to be an exaggeration, but if you choose to stay in the White House Hotel you will know that it is not. From the moment you arrived at the Hotel the staff roll out the red carpet for you. Dressed in finery, the staff greet you at the door with drinks and Turkish Delight. No standing,...","For as long as you are here, you are the Sultan!",Reviewed 18 September 2014 
2017_3_16_13_41_15_773664_88,"Belfast, United Kingdom",Owen1973,"At the end of a wonderful week staying in the White House Hotel, Istanbul, I must say that it was a wonderful experience. Omar, who greeted us at reception, together with the rest of the staff were exceptional in terms of their friendliness and hospitality. The room was spotlessly clean and beautifully decorated. The breakfast was lavish and the location...",Excellent in every way!,Reviewed 18 September 2014 
2017_3_16_13_41_17_6145_89,"Harrogate, United Kingdom",sew69,"The staff were extremely accommodating, helpful, and friendly, making sure my every need was met. They offered free beverages and snacks and made sure I was completely taken care of. The hotel itself is in the perfect location, within an easy walk to all of the most famous sights. The wi-fi was amazing, probably the best I've ever experienced in...",Excellent Hotel and Location,Reviewed 18 September 2014 
2017_3_16_13_41_18_206423_90,Wisconsin,JeanM55,"The White House Hotel in Istanbul is a charming hotel in an exceptional location for sightseeing. The service is excellent and the room we had was pleasant , though extremely elaborately decorated.
There are several restaurants immediately around the corner and almost everything you need or want to see is within easy walking distance. But the bathroom, at least in...",Great location--tiny bathroom,Reviewed 17 September 2014 
2017_3_16_13_41_19_653803_91,"Makati, Philippines",Frida A,"We stayed 3 nights in June 2014, tourist season was peaking and the weather was pleasantly warm.
mr. Cadirci the hotel owner stayed in touch with us every step of the way after we confirmed our reservations online. He arranged for free one way hotel transfer from the airport as part of our package. Our congratulations to you. You and...",A gem of a hotel in the middle of old Istanbul,Reviewed 20 June 2014 
2017_3_16_13_41_20_855206_92,"Madrid, Spain",Rafael M,"We stayed just one night in The White House Hotel, but it was time enough to become our favourite hotel in Istanbul. It is very closed to Sultan Hamet square and therefore, to most of the important monuments in Istanbul. The rooms are not very big but really comfortable. The breakfast is served in a terrace in the roof. It...",The hotel to be in Istanbul,Reviewed 18 June 2014 
2017_3_16_13_41_22_93101_93,"London, United Kingdom",Chalky2014,I stayed here with a friend and we both thought the hotel superb. The staff were particularly friendly and helpful and English speaking. The rooms clean although perhaps a little small. The location of the hotel couldn't be better being situated in the Sultanahmet area of Istanbul near a lot of the best historical sights. There are also lots of...,Istanbul Gem,Reviewed 16 June 2014 
2017_3_16_13_41_23_278537_94,"Singapore, Singapore",Lee2013_Singapore,"Hotel excelled in the personal touch. From a thoughtful bottle of wine left for you in the room, to a box of turkish delight and flowers when you depart, it was the little touches that made the visit memorable.
The rooms were nice, clean and functional with very good shower facilities. Overall a lovely stay!",lovely boutique hotel,Reviewed 16 June 2014 
2017_3_16_13_41_25_743415_95,"Oslo, Norway",Anne K,Small hotel with a nice roof terrasse. Excellent location for the historical sites and the Basar. Very friendly and helpful staff. Small rooms but very clean. The breakfast at roof terrasse was a pleasant way to strat the day in a hectic city.,An excellent hotel when viting Istanbul,Reviewed 16 June 2014 
2017_3_16_13_41_27_397335_96,Winterthur,Ginger1Winterthur,"We did enjoy very much our stay in this hotel. The location in Sultanahmet is close to the main historical sites. Also close by is a great selection of excellent restaurants with local food. The room and the bathroom was clean and well organised. Unfortunately the views from our room was not great, just a couple of meters away from...","Great location and helpful staff, but quite noisy",Reviewed 15 June 2014 
2017_3_16_13_41_28_597791_97,"Johannesburg, South Africa",hervecoenen,"We stayed at this hotel for three nights at the end of May 2014. The hotel is superbly central in the Istanbul's historic centre of Sultanahmet. Major sites like the Hagia Sophia, the Blue Mosque, Topkapi Palace, the Grand Bazaar and other sites are within 10' to 15' walk. Most of them you can see from the roof terrace.
The...",AN EXCELLENT BOUTIQUE HOTEL,Reviewed 15 June 2014 
2017_3_16_13_41_29_744869_98,"New York City, New York",GL_from_NYC,"This hotel was recommended by a friend who stayed here a few months ago. The hotel itself is just right for what it is: a boutique hotel in the old city, very close to some of Istanbul's major attractions.
First, the room and the hotel were clean. The bathroom pretty much sparkled, with attention paid to the design and to...",Just right,Reviewed 15 June 2014 
2017_3_16_13_41_30_946487_99,London,floramalone,"Have stayed here a couple of times for work as location relatively convenient. Staff very friendly and helpful; location good, although the street both times has been very noisy early in the morning, despite good air conditioning in the hotel. It is a visual feast of reproduction gilt and cream everywhere - doors, beds, ceilings, etc. - completely over the...",Overrated,Reviewed 14 June 2014 
2017_3_16_13_41_32_262876_100,"Vancouver, Canada",Kathy B,"This is a charming hotel with absolutely fantastic staff, some of the best I have ever run into and I travel a lot. The rooms are small but well appointed and comfortable. The location is fantastic, can't be beat. Although in a busy tourist are the rooms were quiet. The roof top restaurant was fantastic, over looking the Hagia Sophia...",Excellent small hotel,Reviewed 13 June 2014 
